Day,Model,A,B,C,D,E,F,G
M,TAR,0.94,1.06,0.88,1.13,1.85,0.88,1.5
M,TARt,0.89,1.03,0.8,1.13,1.52,0.59,1.26
M,SEAS,1.36,1.17,0.93,1.14,2.91,1.19,2.57
M,SEASt,1.31,1.12,0.84,1.3,2.51,0.91,1.7
T,TAR,0.87,1.04,0.96,1.03,1.46,1.15,1.21
T,TARt,0.79,1.02,0.92,0.97,1,0.86,0.96
T,SEAS,1.04,1.06,0.91,1.1,2.24,1.22,2.15
T,SEASt,1.02,1.03,0.89,1.13,1.65,1.08,1.32
W,TAR,1.09,1.15,1.1,0.99,1.75,2,1.26
W,TARt,0.97,1.11,1.13,0.98,1.25,1.91,0.91
W,SEAS,1.15,1.61,1.69,1.21,2.94,2.24,1.71
W,SEASt,0.97,1.58,1.82,1.23,2.21,1.8,1.32
Th,TAR,0.9,0.96,0.82,0.93,1.88,1.47,1.14
Th,TARt,0.84,0.91,0.71,0.86,0.73,1.2,1.04
Th,SEAS,1.15,1.09,1.14,1.03,2.69,1.96,2.68
Th,SEASt,0.99,0.94,0.92,0.94,1.62,1.8,2.04
F,TAR,3.04,1.09,1,0.66,1.14,2.47,0.92
F,TARt,1.5,1,0.7,0.51,0.35,2.05,0.75
F,SEAS,3.53,1.57,1.42,1.33,3.12,4.35,2.42
F,SEASt,3.47,1.47,1.17,1.18,1.3,4.34,1.39
